,State,Sex,Year,Name,Number
5362626,TX,M,1995,Jose,2661
5362627,TX,M,1995,Joshua,2429
5362628,TX,M,1995,Jacob,2269
5362629,TX,M,1995,Matthew,2190
5362630,TX,M,1995,Daniel,2100
5362631,TX,M,1995,David,2000
5362632,TX,M,1995,Brandon,1966
5362633,TX,M,1995,John,1918
5362634,TX,M,1995,Jonathan,1780
5362635,TX,M,1995,Juan,1765
5362636,TX,M,1995,Justin,1654
5362637,TX,M,1995,Andrew,1596
5362638,TX,M,1995,Tyler,1571
5362639,TX,M,1995,James,1554
5362640,TX,M,1995,Christian,1529
5362641,TX,M,1995,Zachary,1508
5362642,TX,M,1995,Joseph,1481
5362643,TX,M,1995,Austin,1471
5362644,TX,M,1995,Nicholas,1452
5362645,TX,M,1995,William,1451
5362646,TX,M,1995,Ryan,1353
5362647,TX,M,1995,Robert,1339
5362648,TX,M,1995,Anthony,1250
5362649,TX,M,1995,Aaron,1221
5364406,TX,M,1996,Jose,2825
5364407,TX,M,1996,Christopher,2802
5364408,TX,M,1996,Michael,2601
5364409,TX,M,1996,Joshua,2434
5364410,TX,M,1996,Jacob,2362
5364411,TX,M,1996,David,2183
5364412,TX,M,1996,Matthew,2163
5364413,TX,M,1996,Daniel,2034
5364414,TX,M,1996,Jonathan,1943
5364415,TX,M,1996,Brandon,1932
5364416,TX,M,1996,John,1812
5364417,TX,M,1996,Juan,1768
5364418,TX,M,1996,Christian,1751
5364419,TX,M,1996,Andrew,1629
5364420,TX,M,1996,Justin,1619
5364421,TX,M,1996,James,1492
5364422,TX,M,1996,Joseph,1481
5364423,TX,M,1996,Zachary,1466
5364424,TX,M,1996,Austin,1454
5364425,TX,M,1996,William,1452
5364426,TX,M,1996,Tyler,1443
5364427,TX,M,1996,Robert,1391
5364428,TX,M,1996,Ryan,1355
5364429,TX,M,1996,Nicholas,1343
5364430,TX,M,1996,Anthony,1309
5364431,TX,M,1996,Jesus,1263
5364432,TX,M,1996,Luis,1244
5366185,TX,M,1997,Jose,2934
5366186,TX,M,1997,Michael,2713
5366187,TX,M,1997,Christopher,2549
5366188,TX,M,1997,Jacob,2543
5366189,TX,M,1997,Joshua,2479
5366190,TX,M,1997,Matthew,2141
5366191,TX,M,1997,David,2089
5366192,TX,M,1997,Daniel,2078
5366193,TX,M,1997,Jonathan,2001
5366194,TX,M,1997,Brandon,1982
5366195,TX,M,1997,Juan,1865
5366196,TX,M,1997,Andrew,1721
5366197,TX,M,1997,John,1689
5366198,TX,M,1997,Christian,1609
5366199,TX,M,1997,Zachary,1572
5366200,TX,M,1997,Nicholas,1474
5366201,TX,M,1997,James,1469
5366202,TX,M,1997,Joseph,1447
5366203,TX,M,1997,Luis,1381
5366204,TX,M,1997,William,1370
5366205,TX,M,1997,Austin,1367
5366206,TX,M,1997,Justin,1355
5366207,TX,M,1997,Tyler,1353
5366208,TX,M,1997,Anthony,1293
5366209,TX,M,1997,Jesus,1235
5366210,TX,M,1997,Ryan,1232
5366211,TX,M,1997,Robert,1208
5368027,TX,M,1998,Jose,2930
5368028,TX,M,1998,Jacob,2716
5368029,TX,M,1998,Michael,2644
5368030,TX,M,1998,Christopher,2510
5368031,TX,M,1998,Joshua,2380
5368032,TX,M,1998,Matthew,2225
5368033,TX,M,1998,David,2058
5368034,TX,M,1998,Brandon,2015
5368035,TX,M,1998,Jonathan,2001
5368036,TX,M,1998,Daniel,1986
